source airport, destination airport, distance (weighted km), fuel, number of passengers, aircraft type, expected time, ticket cost, net profit
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828,1322.2727320050656,32,Boeing 737-600,150.65558687198512,341.26375770412375,-1262.6759035052564
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828,1652.840915006332,32,Boeing 767-800,150.65558687198512,250.95053240822793,-6198.478150483229
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828,1275.8771975487475,32,Airbus A200-100,155.07698880018756,293.7281300636981,-2496.6891055414326
Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1170.1452541878828,1101.8939433375544,32,Airbus A220-300,155.07698880018756,225.40132204925726,-3606.421152788116
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453, 2160.70076764037,12,Boeing 737-600,201.19829055968694,486.6071356290203,-11532.58911440778
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453,2700.875959550462,12,Boeing 767-800,201.19829055968694,365.34115392319285,-16330.749580366719
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453,2084.886705617901,12,Airbus A200-100,210.06465358295407,417.3502754202216,-11894.482849476317
Hartsfield-Jackson Atlanta International Airport,Denver International Airport,1912.1121443233453,1800.5839730336413,12,Airbus A220-300,210.06465358295407,315.4839364922921,-11357.421713722515
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253, 1099.9897877651001,40,Boeing 737-600,137.5650223743586,302.7305114411363,1301.7411991968875
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253,1374.987234706375,40,Boeing 767-800,137.5650223743586,220.62344044198778,-3684.411455381194
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253,1061.3936548610616,40,Airbus A200-100,140.80798203053658,260.9535885703578,-130.4767942851795
Hartsfield-Jackson Atlanta International Airport,O'Hare International Airport,973.4359626827253,916.6581564709167,40,Airbus A220-300,140.80798203053658,201.51873712584313,-1612.149897006745
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827, 3486.376993063819,77,Boeing 737-600,285.95353140285357,716.4160786133424,29587.984046731042
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827,4357.971241329774,77,Boeing 767-800,285.95353140285357,546.209303494187,11088.048860931995
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827,3364.0479757633348,77,Airbus A200-100,301.60199755982035,612.814801974138,22367.74027205604
Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,3085.269320011827,2905.3141608865158,77,Airbus A220-300,301.60199755982035,457.91760427945,13279.61052410405
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474, 1390.5618195080483,28,Boeing 737-600,152.77223727973475,353.10182397962893,-2718.8840446431423
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474,1738.2022743850605,28,Boeing 767-800,152.77223727973475,260.26752901394957,-7469.678082700353
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474,1341.7701767182925,28,Airbus A200-100,157.55567664498238,303.79702464110954,-3797.46280801387
Hartsfield-Jackson Atlanta International Airport,John F. Kennedy International Airport,1230.5776821736474,1158.801516256707,28,Airbus A220-300,157.55567664498238,232.73845687626306,-4654.769137525262
